race,classtype,yearssmall,hsgrad,g4math,g4reading,kinder
white,1,1,,,,small
white,2,0,1,712,740,regular
white,1,4,0,717,741,small
white,3,0,,,,regular with aid
white,1,4,1,821,796,small
white,3,3,,707,720,regular with aid
white,2,0,,,,regular
white,2,0,,,,regular
white,1,4,,660,606,small
white,2,0,1,758,745,regular
white,1,4,0,665,620,small
white,3,0,1,,,regular with aid
white,1,2,0,,,small
white,2,0,1,740,741,regular
white,2,0,,,,regular
white,1,2,1,,,small
white,3,0,,,,regular with aid
white,3,0,1,741,688,regular with aid
white,2,0,1,,,regular
white,2,0,1,674,704,regular
white,1,1,1,,,small
white,3,0,1,758,734,regular with aid
white,1,1,1,739,836,small
white,2,0,0,741,753,regular
white,1,2,,,,small
white,1,1,1,,,small
black,3,0,,,,regular with aid
white,1,2,1,,,small
white,3,2,1,821,778,regular with aid
white,1,1,1,,,small
white,2,0,,,,regular
black,3,0,,,,regular with aid
black,1,1,,,,small
white,3,0,1,744,784,regular with aid
white,3,0,,,,regular with aid
white,1,4,0,713,707,small
white,2,0,1,,,regular
white,3,0,,,,regular with aid
white,1,3,,,,small
white,2,0,,684,794,regular
white,2,0,1,690,728,regular
white,3,3,1,704,719,regular with aid
white,2,0,,,,regular
white,3,2,1,706,737,regular with aid
white,1,4,,740,644,small
black,3,0,,,,regular with aid
black,2,0,1,741,722,regular
black,1,1,,,,small
white,3,0,,,,regular with aid
white,3,0,1,707,757,regular with aid
black,3,0,,,,regular with aid
white,3,0,1,700,716,regular with aid
white,3,0,,487,528,regular with aid
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,3,0,1,,,regular with aid
white,2,0,1,741,722,regular
white,3,0,,730,763,regular with aid
white,1,1,1,,,small
white,2,0,1,704,699,regular
white,1,4,1,715,762,small
white,2,0,,702,716,regular
white,1,4,,654,727,small
white,1,1,,,,small
white,1,1,,,,small
white,1,1,1,,,small
white,1,4,0,535,705,small
white,3,0,0,691,717,regular with aid
white,1,1,0,695,741,small
white,2,0,0,675,721,regular
white,2,3,1,758,769,regular
white,1,2,,,,small
white,2,0,,,,regular
white,1,4,1,686,742,small
white,3,0,1,,,regular with aid
white,1,4,1,758,778,small
white,3,0,,741,782,regular with aid
white,1,1,,,,small
white,3,0,,672,666,regular with aid
white,3,0,,,,regular with aid
white,1,4,,758,747,small
white,3,0,,713,785,regular with aid
white,2,0,,,,regular
black,3,0,0,709,713,regular with aid
white,1,4,1,740,785,small
white,3,0,1,699,756,regular with aid
white,3,0,,645,637,regular with aid
white,2,3,1,705,724,regular
white,2,0,,,,regular
white,3,2,1,,,regular with aid
white,3,0,1,696,673,regular with aid
white,2,3,,741,784,regular
black,1,4,1,,,small
white,1,4,1,769,761,small
white,3,0,1,758,751,regular with aid
white,1,4,,670,676,small
white,1,4,,714,836,small
white,1,4,1,758,721,small
white,2,0,,,,regular
white,3,0,1,767,745,regular with aid
white,3,0,,775,796,regular with aid
white,3,3,,702,708,regular with aid
white,3,2,1,726,742,regular with aid
white,3,0,1,740,727,regular with aid
white,2,0,,699,709,regular
white,2,0,1,739,782,regular
white,3,3,1,750,716,regular with aid
white,1,4,,,,small
white,1,1,0,,,small
white,2,2,0,,,regular
white,2,0,1,738,742,regular
white,2,0,,,,regular
white,1,3,,,,small
white,2,0,1,,,regular
white,1,1,,,,small
white,3,0,,,,regular with aid
black,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,1,2,1,,,small
white,2,0,1,712,778,regular
white,1,4,1,714,744,small
white,1,4,1,728,784,small
white,2,0,,758,734,regular
white,1,4,,821,710,small
white,2,0,1,,,regular
white,2,0,1,758,767,regular
white,1,4,,775,728,small
white,1,3,,,,small
white,1,4,1,741,784,small
white,3,0,1,697,706,regular with aid
white,1,4,,688,758,small
white,3,0,1,744,740,regular with aid
white,2,0,,645,744,regular
white,2,0,,603,669,regular
white,1,1,1,,,small
white,2,0,,,,regular
white,2,0,0,,,regular
white,2,0,,691,632,regular
white,2,3,,638,528,regular
white,3,0,,,,regular with aid
white,3,0,0,699,723,regular with aid
white,3,0,,638,675,regular with aid
white,2,0,1,724,667,regular
white,3,0,,,,regular with aid
white,3,0,,711,738,regular with aid
white,3,3,,744,629,regular with aid
white,2,0,1,686,698,regular
white,3,3,1,752,716,regular with aid
white,2,0,,678,716,regular
white,1,4,1,744,836,small
black,3,3,1,725,691,regular with aid
white,3,0,1,726,723,regular with aid
white,3,0,1,,,regular with aid
white,2,0,1,758,763,regular
white,3,0,,,,regular with aid
white,1,3,1,,,small
black,1,4,,666,674,small
white,3,0,1,,,regular with aid
white,3,0,,,,regular with aid
white,2,0,1,773,741,regular
white,3,0,1,639,701,regular with aid
white,3,0,1,712,704,regular with aid
black,1,1,,726,722,small
white,2,0,0,,,regular
white,2,0,1,710,736,regular
white,2,0,1,,,regular
white,2,2,,683,715,regular
white,1,3,1,696,757,small
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,1,4,1,740,778,small
white,2,0,1,,,regular
white,1,3,,,,small
white,3,0,1,719,836,regular with aid
white,3,0,1,,,regular with aid
white,1,1,1,,,small
black,1,1,,,,small
white,2,0,,,,regular
white,1,4,0,771,688,small
white,1,1,1,,,small
white,1,4,0,664,742,small
white,3,0,1,698,713,regular with aid
white,3,0,1,679,836,regular with aid
white,2,0,,,,regular
white,2,0,,,,regular
white,1,1,0,,,small
white,2,0,1,694,763,regular
white,3,0,1,,,regular with aid
white,1,4,1,681,704,small
white,3,0,,,,regular with aid
white,3,0,1,758,741,regular with aid
black,3,0,,625,672,regular with aid
black,1,4,,659,621,small
white,1,4,1,744,794,small
black,3,0,1,726,727,regular with aid
white,2,0,,821,763,regular
white,3,0,1,745,700,regular with aid
white,2,0,1,,,regular
white,2,0,,,,regular
black,2,0,1,730,736,regular
white,3,0,1,705,659,regular with aid
white,3,1,1,,,regular with aid
white,2,0,1,,,regular
white,2,0,,,,regular
black,2,0,,741,647,regular
white,3,0,1,,,regular with aid
white,1,4,,758,742,small
white,1,4,,692,759,small
white,1,4,1,655,709,small
white,2,0,1,767,760,regular
white,1,4,1,741,735,small
white,1,4,1,701,740,small
white,1,4,1,740,741,small
white,1,4,1,735,761,small
black,2,0,1,678,681,regular
white,1,2,,,,small
white,2,0,1,758,760,regular
white,3,0,1,724,721,regular with aid
white,2,0,1,684,622,regular
white,2,0,1,767,765,regular
white,3,0,0,598,736,regular with aid
white,2,0,,704,692,regular
white,2,1,1,722,756,regular
white,3,0,1,697,735,regular with aid
white,1,1,,,,small
white,1,1,,,,small
white,1,4,,541,743,small
white,2,0,1,743,836,regular
white,2,1,1,758,778,regular
white,2,0,1,603,689,regular
white,2,0,,709,720,regular
white,3,0,1,744,756,regular with aid
white,2,3,1,749,680,regular
white,2,0,,,,regular
black,2,0,1,,,regular
white,3,0,1,739,763,regular with aid
white,1,4,1,758,836,small
white,2,0,1,715,676,regular
white,3,0,1,729,761,regular with aid
black,2,0,,,,regular
white,3,0,1,726,724,regular with aid
white,3,0,,,,regular with aid
white,1,4,,666,692,small
white,3,0,1,717,717,regular with aid
black,1,2,1,,,small
white,1,3,1,699,719,small
white,2,0,1,711,695,regular
white,3,0,1,708,836,regular with aid
white,2,0,0,702,715,regular
white,2,3,1,821,765,regular
white,2,0,1,710,728,regular
white,3,2,1,657,702,regular with aid
white,3,0,1,726,718,regular with aid
white,1,4,1,728,836,small
black,1,1,0,,,small
black,3,0,,726,767,regular with aid
black,3,0,1,,,regular with aid
black,2,0,,,,regular
black,2,0,0,,,regular
black,2,0,,,,regular
black,3,0,,,,regular with aid
black,2,0,,,,regular
black,3,0,0,647,689,regular with aid
black,1,3,,,,small
black,2,0,,,,regular
black,2,0,,,,regular
black,3,0,1,,,regular with aid
black,3,0,1,,,regular with aid
black,2,0,0,,,regular
black,3,0,0,,,regular with aid
black,2,1,0,,,regular
black,3,1,,,,regular with aid
black,3,0,1,,,regular with aid
black,3,0,1,,,regular with aid
black,3,0,,,,regular with aid
white,3,0,1,,,regular with aid
white,2,0,,712,771,regular
white,1,4,1,706,710,small
white,3,0,1,758,836,regular with aid
white,1,1,,,,small
white,2,0,1,741,784,regular
white,2,0,,743,748,regular
white,2,0,1,662,714,regular
white,2,0,1,715,765,regular
white,2,0,,,,regular
white,1,4,,704,724,small
white,1,2,0,,,small
white,3,0,1,,,regular with aid
white,3,0,1,717,682,regular with aid
white,1,1,1,,,small
white,2,0,1,697,604,regular
white,1,3,0,,,small
white,2,0,1,658,688,regular
white,2,0,,,,regular
white,1,1,,,,small
white,2,0,1,,,regular
white,3,0,1,,,regular with aid
white,1,4,,723,732,small
white,1,3,1,,,small
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,2,0,1,,,regular
white,2,0,,724,734,regular
white,1,1,,,,small
white,2,0,,705,717,regular
white,1,4,1,690,730,small
white,3,3,1,707,721,regular with aid
white,2,0,,732,750,regular
white,3,0,1,709,642,regular with aid
black,3,0,,,,regular with aid
white,1,4,1,698,782,small
white,2,0,,,,regular
white,3,0,0,719,694,regular with aid
white,1,4,,711,751,small
white,3,0,1,,,regular with aid
white,1,3,1,,,small
white,2,0,1,,,regular
white,1,2,1,,,small
white,3,0,,692,738,regular with aid
white,1,4,,716,722,small
white,2,0,1,,,regular
white,2,0,,661,629,regular
white,3,0,0,754,763,regular with aid
white,1,1,,,,small
white,2,3,1,726,757,regular
white,3,0,1,,,regular with aid
white,1,4,0,684,731,small
white,1,4,1,662,632,small
white,3,0,1,,,regular with aid
white,1,4,,677,723,small
white,2,0,1,,,regular
white,2,2,1,771,739,regular
white,2,0,1,664,700,regular
white,2,0,,,,regular
white,3,0,,,,regular with aid
black,2,0,0,,,regular
white,2,0,1,821,705,regular
white,1,1,0,,,small
black,1,1,,,,small
black,2,0,,,,regular
white,3,0,1,718,711,regular with aid
white,3,2,1,691,721,regular with aid
white,3,0,,758,750,regular with aid
white,2,0,1,,,regular
white,3,0,1,,,regular with aid
white,1,3,,652,626,small
white,1,4,1,747,736,small
white,3,0,0,683,,regular with aid
white,3,3,,729,,regular with aid
white,2,0,0,700,,regular
white,2,3,1,726,,regular
white,1,4,1,741,,small
white,3,0,,,,regular with aid
white,3,0,,,,regular with aid
white,2,0,,670,712,regular
white,3,0,,,,regular with aid
white,2,0,1,,,regular
white,1,4,1,690,711,small
white,2,3,,729,760,regular
white,3,0,1,729,725,regular with aid
white,1,4,,719,750,small
white,1,4,1,703,701,small
white,1,4,0,699,697,small
white,2,0,1,648,677,regular
white,2,0,1,717,836,regular
white,1,3,,,,small
white,2,3,,,,regular
white,3,0,1,744,770,regular with aid
white,2,0,,643,646,regular
white,3,3,,667,782,regular with aid
white,3,0,1,679,695,regular with aid
white,1,1,,,,small
white,2,0,,,,regular
white,2,0,1,,,regular
white,2,0,1,,,regular
white,2,0,1,728,760,regular
white,3,0,1,765,745,regular with aid
white,3,0,,,,regular with aid
white,2,0,1,690,695,regular
white,1,4,1,724,737,small
white,2,1,0,,,regular
white,1,4,1,758,714,small
white,3,0,1,769,784,regular with aid
white,3,0,1,,,regular with aid
white,3,0,,767,771,regular with aid
white,1,4,1,686,745,small
white,2,0,1,716,763,regular
white,2,0,1,,,regular
black,3,0,,,,regular with aid
white,2,0,,,,regular
white,2,0,0,681,728,regular
white,1,2,1,,,small
white,2,0,1,704,668,regular
white,1,4,1,783,836,small
white,3,0,,714,717,regular with aid
white,2,0,,,,regular
white,3,0,,,,regular with aid
white,1,4,1,699,724,small
white,3,3,,739,756,regular with aid
white,1,4,1,636,697,small
white,1,4,,696,794,small
white,1,1,,,,small
white,2,0,0,531,641,regular
white,3,0,1,758,760,regular with aid
white,3,0,,,,regular with aid
white,2,0,1,696,688,regular
white,1,4,1,738,685,small
white,3,0,,698,785,regular with aid
white,3,2,,,,regular with aid
white,3,1,1,689,662,regular with aid
white,1,1,,,,small
white,1,4,,704,763,small
white,2,0,1,696,734,regular
white,2,0,,,,regular
black,3,0,1,,,regular with aid
white,1,1,,,,small
white,1,4,1,789,750,small
white,3,0,0,,,regular with aid
white,1,4,,704,725,small
white,2,0,,,,regular
others,3,0,1,741,778,regular with aid
white,1,4,1,779,782,small
white,2,0,1,637,691,regular
white,2,0,1,739,771,regular
white,1,4,,648,528,small
white,2,0,0,,,regular
white,1,4,1,689,705,small
white,3,0,1,657,705,regular with aid
white,2,0,1,701,652,regular
white,3,0,,676,749,regular with aid
white,3,3,1,723,741,regular with aid
black,1,1,,,,small
white,1,1,,,,small
white,2,3,1,691,763,regular
white,2,0,0,,,regular
white,1,1,,,,small
white,3,0,1,715,755,regular with aid
black,2,0,,,,regular
white,3,0,,,,regular with aid
white,3,0,,676,652,regular with aid
black,3,0,,,,regular with aid
white,3,1,,,,regular with aid
white,1,4,1,679,660,small
white,3,0,0,,,regular with aid
white,2,0,,736,691,regular
white,2,0,1,,,regular
white,2,0,1,695,738,regular
white,2,3,0,707,760,regular
white,3,0,0,,,regular with aid
white,3,0,0,726,692,regular with aid
white,3,0,1,733,703,regular with aid
black,2,0,,,,regular
white,1,2,1,,,small
black,2,0,1,707,721,regular
white,1,4,,715,715,small
white,3,0,,730,836,regular with aid
white,3,2,,695,679,regular with aid
white,3,0,,727,689,regular with aid
white,2,0,1,,,regular
white,2,0,1,,,regular
white,2,0,1,727,689,regular
white,2,0,,767,750,regular
