name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
中金岭南,4.2,2.14,11.1319,323.2288,0.146,15059.1143,6.8059,33.9876,10.5921,6.6906,53.8068,2.7512,130.852,-11.0923,31.1406,4.1314,6.8393,66.6667,4.599,0.9643,0.6206,28.1768,300.7931,48.4171,51.5829,0.0934,0.0829,4.1133,0.1607,23.459
农产品,1.82,4.37,34.9203,88.4595,0.0521,2020.0791,1.1904,26.9031,13.3814,2.8374,126.8767,0.6911,520.9087,16.3204,110.7093,2.688,6.9287,330.5785,0.6877,0.4538,0.3865,19.0268,208.0457,36.2238,63.7762,0.2613,0.0306,5.6601,0.048,8.526
深圳华强,10.69,7.68,19.1587,425.8609,0.5903,5544.599,7.6867,6.2379,57.7117,4.6448,77.506,1.6499,218.195,172.6426,17.6857,10.9582,11.9741,6.2635,10.5232,1.5767,1.0792,42.8997,2291.2604,58.9672,41.0328,-0.0666,-0.0534,-0.8398,-0.13,-15.6307
北方国际,14.45,5.26,11.8693,461.049,0.8987,8761.9234,17.0796,5.5588,64.7622,12.5482,28.6894,1.1209,321.1705,104.4516,129.2563,69.1696,83.5751,15.8537,64.0116,1.2297,1.1266,45.0995,-286.9652,30.1354,69.8646,0.0164,0.0119,0.2727,0.017,1.7615
华控赛格,1.59,3.35,42.4144,9.9752,0.0099,297.5632,0.2955,2.5172,143.016,23.1506,15.5504,0.5119,703.2624,74.4023,7.2476,20.9108,73.3424,41.4286,1.6241,1.5062,1.4871,112.8759,-165.2117,60.9647,39.0353,0.1617,0.0366,5.515,0.0938,9.4484
华侨城A,15.75,19.41,53.2583,6888.4179,0.8394,35481.1048,4.3239,81.4857,4.418,0.2783,1293.5681,0.3772,954.4008,10.0656,39.4332,14.0836,26.9626,31.7896,14.7858,1.4791,0.5323,21.7152,1118.5289,32.8785,67.1215,0.1241,0.0301,0.6024,0.0448,6.1341
特发信息,11.25,4.24,17.3052,195.7851,0.6245,4612.418,14.7127,3.741,96.231,3.6142,99.6071,1.4741,244.2168,88.2775,101.608,13.4824,25.2455,86.4736,12.0006,1.2638,0.84,21.5725,647.6343,40.5058,59.4942,0.0651,0.0593,1.3117,0.0997,10.6142
海王生物,7.79,3.07,14.8733,418.3957,0.1579,13605.9217,5.1377,2.1629,166.4432,9.0809,39.6436,1.0676,337.2049,22.3803,-3.7884,174.2786,30.5526,-70.9618,197.39,1.348,1.2082,28.9442,505.0605,35.2788,64.7212,-0.11,-0.0898,-3.0009,-0.1388,-14.0977
深圳机场,5.26,18.52,27.2644,562.4309,0.2742,3036.3086,1.4805,9.7383,36.9674,447.2615,0.8049,1.192,302.0134,2.8368,7.8846,4.5361,4.3903,0.146,4.4549,1.6746,1.6715,148.0818,-2122.5114,85.8992,14.1008,0.3757,0.0914,1.9838,0.6482,65.0524
天健集团,7.09,7.19,22.181,446.5181,0.3727,6209.0177,5.1837,11.087,32.4705,0.5003,719.5683,0.4254,846.2623,-1.7215,13.7001,2.2185,16.5328,-47.5521,2.0862,1.709,0.4933,39.2371,483.0899,32.8431,67.1569,-0.1177,-0.0379,-1.6387,-0.0564,-7.9998
广聚能源,12.83,32.35,18.7946,292.8874,0.5547,905.0961,1.7141,311.5231,1.1556,34.0097,10.5852,0.6866,524.3227,-9.2942,98.7314,14.1271,9.5993,96.4286,14.2038,13.4903,13.1447,1179.0357,-1175.1896,94.8408,5.1592,-0.0502,-0.0187,-0.1532,-0.3628,-45.7512
中信海直,3.02,7.33,19.1533,85.9295,0.1417,1171.9252,1.9336,2.7757,129.697,2.6734,134.66,0.8233,437.2647,-9.1108,-48.2926,2.2031,-1.3819,-49.9106,2.0513,1.6116,1.2558,50.9147,196.7054,58.7782,41.2218,0.2479,0.0594,3.2395,0.1441,32.9609
TCL集团,7.03,1.5,16.9088,1602.126,0.1311,106473.5,8.7175,7.8382,45.9289,8.0966,44.4631,1.6422,219.2181,1.8111,-33.8225,21.5718,31.6603,-38.7202,-5.9695,1.1282,0.9376,39.2238,442.6377,31.0913,68.9087,0.0754,0.0546,3.7557,0.0792,11.9299
宜华健康,30.76,57.41,25.9157,744.3861,1.6623,1296.4571,2.8951,5.0491,71.2998,0.7842,459.0666,0.3814,943.8909,25.7199,1248.9346,49.1373,58.2539,1289.8829,44.4252,0.9577,0.9199,45.7557,919.6791,34.867,65.133,-0.4365,-0.0786,-0.7619,-0.1207,-16.478
中成股份,10.17,5.7,11.6183,100.8799,0.3408,1767.3612,5.9712,40.9129,8.7992,17.7685,20.2606,0.8917,403.7232,45.7696,-24.8915,-1.6954,-14.3619,-25.0495,-1.7071,1.6743,1.5852,120.7382,-105.8372,48.2465,51.7535,-0.1983,-0.1694,-3.474,-0.3274,-32.8911
丰原药业,3.97,2.25,26.6128,45.8363,0.1468,2033.6834,6.5152,4.309,83.5461,5.4812,65.679,1.9146,188.0288,30.8429,45.2634,-2.6574,8.0291,41.4258,0.1821,0.9434,0.7241,12.5086,342.4635,46.2892,53.7108,0.0385,0.0314,1.711,0.0585,6.2516
华数传媒,5.95,19.54,44.8911,602.1971,0.4201,3081.184,2.1496,6.2615,57.4942,30.3716,11.8532,0.3922,917.899,7.7875,12.7749,9.2433,10.7128,5,9.2692,3.252,3.2246,294.9342,-437.7722,72.0722,27.9278,0.4821,0.1058,2.473,0.379,59.5673
常山北明,6.09,3.18,7.5995,349.9145,0.2752,10974.3231,8.6313,6.987,51.5243,5.1721,69.6042,1.6213,222.044,23.2802,39.5114,5.7271,17.0202,16.6667,5.7108,1.3196,0.9824,35.2132,266.6994,44.8589,55.1411,0.0398,0.0341,1.2582,0.0618,7.6099
国际实业,1.6,6.73,17.3172,35.2176,0.0731,523.2026,1.0874,4.5933,78.375,0.4979,723.0368,0.272,1323.5294,-23.0288,-40.2984,1.0368,5.6716,-37.1134,1.1687,2.556,1.3842,33.5875,2353.1812,70.7268,29.2732,-0.0643,-0.0108,-0.9375,-0.0369,-4.3904
东方市场,4.25,18.58,43.795,147.3793,0.1209,793.1102,0.651,19.7267,18.2494,0.8383,429.4405,0.578,622.8374,14.2702,-11.9235,7.1876,12.9721,-11.7433,7.2017,1.4338,0.9134,40.527,-7945.5087,69.7815,30.2185,1.0788,0.1722,5.8122,0.5699,81.0176
美的集团,24.02,9.23,27.306,14684.357,2.2735,159044.041,24.6245,13.3503,26.9657,8.8676,40.5972,1.4865,242.1796,14.882,16.4207,23.1032,32.4109,-23.4114,24.237,1.3525,1.1773,20.1059,-1780.2185,40.4317,59.5683,0.1678,0.1565,1.683,0.2627,29.9325
潍柴动力,7.69,2.61,22.6258,2441.1886,0.6105,93183.5214,23.3039,9.1749,39.2375,5.1625,69.7337,1.3892,259.142,26.4021,66.2874,6.7947,42.7578,74.2857,0.0278,1.2954,1.0226,48.4677,2432.5518,27.1733,72.8267,0.0885,0.0503,2.2942,0.0691,13.9884
许继电气,12.31,9.04,23.2697,868.925,0.8617,9607.0096,9.5276,1.2526,287.4022,3.9473,91.2016,0.827,435.3083,30.7734,16.7057,9.8797,14.5227,20.5681,12.2095,2.0417,1.723,29.8708,2492.7976,52.7979,47.2021,0.1298,0.0872,1.3259,0.1847,20.6508
金融街,10.1,14.12,30.0345,2804.3704,0.9382,19852.5437,6.642,22.2015,16.2151,0.2289,1572.7392,0.2405,1496.8815,27.5481,24.3058,7.337,6.7723,25.3333,8.8506,2.6099,0.8208,42.2772,579.2601,27.5902,72.4098,0.8606,0.1514,6.0683,0.2091,54.1513
ST生化,9.72,9.49,56.0187,53.8959,0.1977,567.4364,2.0817,403.7639,0.8916,0.8489,424.0782,1.1352,317.1247,13.4262,-33.6915,4.0766,-1.738,-29.3929,10.7694,0.9334,0.4288,32.9801,323.1236,43.9881,56.0119,0.1101,0.0503,1.4099,0.0897,9.8425
华意压缩,10.31,3.62,13.7183,252.2908,0.4508,6965.0889,12.446,5.3993,66.6753,7.4497,48.3241,1.2156,296.15,1.5888,19.3446,9.6316,16.2397,15.7678,9.2767,1.3222,1.1397,42.4698,-330.1775,40.1125,59.8875,0.0281,0.0241,0.4939,0.0403,4.1229
英特集团,11.44,0.5,5.6579,86.8476,0.4186,17257.3266,83.1879,5.7966,62.1054,9.789,36.776,2.934,122.6994,11.5792,24.6756,11.9571,14.0763,27.2727,12.5751,1.1976,0.8688,15.2853,333.3313,24.2847,75.7153,0.0082,0.0203,0.7376,0.0268,2.7006
东旭光电,5.58,17.96,30.1351,1239.9289,0.251,6901.3211,1.397,5.1211,70.2974,1.9814,181.6897,0.265,1358.4906,48.4089,-5.8885,58.4268,62.5992,-39.5833,55.1474,3.809,3.5139,285.9746,543.2748,49.2655,50.7345,0.2014,0.0297,1.0607,0.0585,15.2562
渤海金控,7.3,9.38,36.6584,2276.802,0.3681,24257.548,3.9223,18.1215,19.8659,10065.5801,0.0358,0.5615,641.1398,151.1387,58.8833,15.9761,64.2385,0,14.1314,0.9217,0.9217,71.1964,184.2622,17.4198,82.5802,0.5749,0.0644,4.908,0.0779,28.8086
民生控股,1.89,5.89,99.944,16.643,0.0312,282.2208,0.5306,61.3837,5.8647,8.9036,40.4331,0.3024,1190.4762,52.1643,-19.6414,2.0785,-35.1929,-21.9451,0.7809,40.8447,40.8443,2409.6742,324.3307,98.0445,1.9555,-1.3579,-0.4162,-20.5722,-21.2818,-2128.1786
合肥百货,7.93,2.91,19.8918,283.4766,0.3634,9735.8384,12.4836,183.8952,1.9576,6.8887,52.2595,2.0383,176.6178,-0.2963,9.036,6.288,10.8936,8.0559,5.7327,1.1202,0.8472,67.3456,-58762.7032,44.9689,55.0311,0.0701,0.0742,1.8836,0.1349,15.0106
小天鹅A,19.63,7.19,25.8569,1175.0549,1.8578,16334.9145,25.8264,13.833,26.0247,9.8057,36.7133,1.0861,331.4612,24.3937,27.5039,16.2226,31.8149,28.2759,16.7611,1.4554,1.3105,35.8814,-923.3615,36.8479,63.1521,0.2385,0.2063,2.9015,0.3267,32.7233
通程控股,5.25,2.7,19.9804,102.2485,0.1881,3773.9528,6.9427,316.266,1.1383,8.9461,40.241,1.8857,190.9105,-9.3825,5.0872,5.9038,3.5024,-0.1592,5.5451,1.0809,0.9007,59.3948,-3287.2757,52.4861,47.5139,0.0235,0.0223,0.7632,0.047,4.8762
吉林化纤,1.2,2.33,11.6834,32.5047,0.0164,1394.5193,0.7076,13.2595,27.1503,5.8752,61.2745,0.9861,365.0745,34.5763,824.1511,176.7031,74.3574,38.806,177.8806,1.0429,0.9126,48.1744,172.4796,58.2825,41.7175,-0.0823,-0.0248,-4.9561,-0.0595,-6.5451
南京公用,8.04,4.95,20.1261,192.6045,0.3363,3887.662,6.7889,19.7353,18.2414,2.4823,145.0268,1.3364,269.3804,-2.4196,-19.8185,1.9031,5.3802,-15.5873,4.6207,0.9367,0.3428,19.7277,1499.7154,50.8126,49.1874,-0.0353,-0.0195,-0.4742,-0.0396,-4.1133
东阿阿胶,22.16,29.32,66.9546,1852.4735,2.8324,6317.1353,9.6589,18.2062,19.7735,0.8809,408.6729,0.9014,399.3787,15.9179,13.2693,18.3977,15.5715,13.9936,19.1812,5.0873,3.0651,94.9103,-13207.3349,84.2864,15.7136,0.0989,0.0628,0.3367,0.3995,41.9024
粤高速A,12.07,35.44,54.6545,1001.2059,0.4788,2825.0498,1.3511,63.6068,5.6598,2277.6186,0.1581,1.5162,237.4357,82.7921,117.3327,44.3037,32.7449,40.5405,59.12,1.7289,1.7287,168.4283,536.1295,55.0228,44.9772,0.6811,0.1197,1.6414,0.2662,124.4941
张家界,9.12,10.32,39.4836,61.1559,0.1906,592.1833,1.8457,146.02,2.4654,62.4302,5.7664,4.0116,89.7398,-12.2535,-47.1372,10.8385,134.208,-47.2222,10.4074,0.1344,0.1289,10.1999,666.8925,33.2324,66.7676,0.2237,0.0648,2.1918,0.0971,11.2929
晨鸣纸业,9.28,9.01,31.0811,2063.9868,1.0658,22907.1182,11.8297,5.7807,62.2762,3.1344,114.8545,0.6459,557.3618,13.1668,106.8249,30.7431,5.5459,98,31.6944,0.7657,0.6616,33.3928,242.0442,27.4227,72.5773,0.094,0.0262,1.0645,0.0361,4.6095
山东路桥,12.39,5.27,14.2994,429.7066,0.3836,8147.6513,7.2737,2.2693,158.6392,1.593,225.9887,0.7211,499.2373,9.826,14.1035,14.1723,44.4252,13.9632,14.1662,1.3017,0.7732,29.7786,1001.2403,23.0711,76.9289,0.0999,0.0541,1.8894,0.0704,8.059
鄂武商A,16.38,5.6,22.2067,991.6341,1.6755,17689.6416,29.8895,2054.1594,0.1753,15.3598,23.4378,4.4643,80.6397,0.9472,24.0126,46.6477,0.2099,13.2911,46.5973,0.4154,0.3233,22.767,2828.623,34.0278,65.9722,0.0841,0.0836,1.4974,0.1267,15.1425
海虹控股,1.97,12.92,32.092,28.0212,0.0311,216.8333,0.2412,40.5383,8.8805,463.8746,0.7761,0.1888,1906.7797,11.8693,35.8634,2.4075,0.7055,21.4008,3.3094,14.2376,14.2357,1178.3469,-75.0227,94.6998,5.3002,0.1058,0.0154,1.751,0.2901,29.3149
中润资源,0.59,1.08,37.5297,8.7893,0.0094,812.133,0.8741,42.3858,8.4934,0.5619,640.6834,0.358,1005.5866,-41.4817,70.2002,2.3274,-0.353,-59.4017,2.8859,1.4528,0.9054,8.295,608.0723,48.8504,51.1496,-0.3333,-0.0838,-27.38,-0.1639,-18.2587
珠海港,3.98,5.78,22.4022,104.2192,0.1319,1801.1259,2.2812,5.9901,60.0992,20.4433,17.6097,1.8871,190.7689,-10.9526,49.2513,4.2661,4.5039,32.5301,3.5505,0.9999,0.9288,36.0828,248.4955,50.9962,49.0038,0.1551,0.0488,2.3237,0.0996,31.5341
金路集团,7.22,3.78,17.0497,58.0748,0.0953,1534.1542,2.5183,288.9964,1.2457,13.7012,26.2751,4.8216,74.664,-5.3043,730.9429,6.4756,-14.3156,312.5541,7.5482,0.5471,0.3407,10.4112,385.9532,64.115,35.885,0.1697,0.197,4.7932,0.549,59.0062
丽珠集团,12.05,10.25,64.0895,784.3536,1.8423,7651.7753,17.9733,5.6254,63.9954,2.6382,136.4567,1.6027,224.621,15.5767,25.828,47.7295,30.3524,22.2222,49.6918,1.8035,1.4715,62.2817,18672.6787,67.4847,32.5153,0.1672,0.1215,1.5414,0.3736,38.6395
国际医学,5.78,5.12,20.2488,201.5921,0.1022,3930.682,1.9942,75.3433,4.7781,59.6282,6.0374,1.4432,249.4457,0.7772,-16.4735,5.12,4.5538,-68.75,4.9886,1.4438,1.417,135.736,2434.6578,62.9806,37.0194,0.1118,0.0791,2.1822,0.2136,22.522
荣安地产,4.05,8.62,24.3126,148.9344,0.0467,1727.6389,0.5426,33.0441,10.8945,0.213,1690.1408,0.1996,1803.6072,53.6415,44.2252,1.4743,39.977,44.4444,1.4743,1.7775,0.489,13.9854,294.0551,33.1031,66.8969,0.1051,0.0163,1.2189,0.0244,3.201
中兵红箭,1.86,3.63,21.0681,137.6502,0.1332,3782.2645,3.6606,4.6556,77.3262,1.7158,209.8147,0.8216,438.1694,144.3063,-44.9284,75.9066,98.4341,-54.281,76.0008,2.3833,1.6487,100.265,1177.7085,71.7863,28.2137,0.0416,0.0153,1.1465,0.0543,5.7397
